price,name,brand,size,color,desc,category
515,Off-White Jordan 5,Off-White X Jordan,8,Black,10 Classic Nike Icons Remastered by Off-White Designer Virgil Abloh,shoes
1215,Off-White Jordan 1,Off-White X Jordan,8,UNC,10 Classic Nike Icons Remastered by Off-White Designer Virgil Abloh,shoes
603,Off-White Presto,Off-White X Nike,8,Black,10 Classic Nike Icons Remastered by Off-White Designer Virgil Abloh,shoes
773,Air Force 1,Off-White X Nike,8,VOLT,10 Classic Nike Icons Remastered by Off-White Designer Virgil Abloh,shoes
110,Ultra Boost,Adidas ,8,Wolf Grey,An essential daily classic from Adidas,shoes
253,YEEZY 350 v2,YEEZY,8,Cinder,Adidas and Kanye West redesigns a sneaker culture icon,shoes
293,YEEZY 350 v2,YEEZY,8,Blue Tint,Adidas and Kanye West redesigns a sneaker culture icon,shoes
258,YEEZY 350 v2,YEEZY,8,Sesame,Adidas and Kanye West redesigns a sneaker culture icon,shoes
